plano,data,pagamento,data_pagamento,saida,saldo,carteira
amil,2024-07-12,2960,2024-07-12,2368,592,86471
bradesco,2024-06-21,9369,2024-06-21,5802,3567,60733
amil,2025-03-03,5771,2025-03-03,6645,-874,86425
hapvida,2024-05-22,6040,2024-05-22,2077,3963,86986
hapvida,2024-03-30,4863,2024-03-30,8128,-3265,21166
unimed,2024-07-26,1147,2024-07-26,6245,-5098,74170
amil,2025-01-14,2969,2025-01-14,7277,-4308,23640
unimed,2024-03-13,7777,2024-03-13,4744,3033,36925
amil,2024-02-11,2460,2024-02-11,7244,-4784,75425
hapvida,2024-09-08,6047,2024-09-08,8465,-2418,29217
bradesco,2024-01-24,1017,2024-01-24,8431,-7414,3061
hapvida,2024-05-07,5281,2024-05-07,1421,3860,28809
bradesco,2024-03-03,9525,2024-03-03,7552,1973,35029
hapvida,2025-04-05,683,2025-04-05,9553,-8870,68756
bradesco,2024-03-16,8716,2024-03-16,1708,7008,74046
bradesco,2024-10-24,8006,2024-10-24,3435,4571,92884
bradesco,2024-07-08,656,2024-07-08,4620,-3964,31073
unimed,2024-08-01,6142,2024-08-01,4494,1648,42892
bradesco,2024-06-14,7240,2024-06-14,9400,-2160,72196
bradesco,2024-08-13,5951,2024-08-13,9896,-3945,78364
amil,2024-10-30,2920,2024-10-30,7692,-4772,92837
hapvida,2025-03-11,1563,2025-03-11,9396,-7833,66599
hapvida,2024-05-06,8411,2024-05-06,4398,4013,58136
bradesco,2024-02-25,2380,2024-02-25,5528,-3148,94445
hapvida,2024-11-18,8264,2024-11-18,3418,4846,75751
amil,2024-07-04,5145,2024-07-04,615,4530,75604
amil,2025-01-07,9760,2025-01-07,6687,3073,20982
hapvida,2024-01-20,9788,2024-01-20,9649,139,10961
hapvida,2024-04-11,2707,2024-04-11,1758,949,73003
hapvida,2024-01-13,301,2024-01-13,7002,-6701,40831
hapvida,2024-04-18,2087,2024-04-18,4732,-2645,42287
hapvida,2024-09-18,6291,2024-09-18,6325,-34,95218
bradesco,2024-10-11,938,2024-10-11,4562,-3624,67204
amil,2024-10-24,8678,2024-10-24,9234,-556,84492
bradesco,2025-01-21,4608,2025-01-21,3303,1305,39573
unimed,2024-08-21,9454,2024-08-21,2258,7196,87303
hapvida,2024-08-19,941,2024-08-19,3859,-2918,63250
hapvida,2024-05-05,9579,2024-05-05,3908,5671,93295
hapvida,2024-02-26,6383,2024-02-26,7217,-834,19375
unimed,2025-03-14,5932,2025-03-14,7621,-1689,81080
